id,name,symbol,rank,price,day_volume,market_cap,p_day_vol,available_supply,total_supply,p_tot_supply,max_supply,p_max_supply,p_change_hour,p_change_day,p_change_week,last_updated,load_date
pillar,Pillar,PLR,101,0.55313,87741.5,125773354.0,0.00069761596721,227384800.0,800000000.0,0.284231,1.0,0,-0.0032,-0.014,-0.2026,2018-03-14 10:34:12,2018-03-14 10:38:41
blocknet,Blocknet,BLOCK,102,24.3746,151471.0,123171884.0,0.00122975304981,5053288.0,5053288.0,1.0,1.0,0,-0.0054,-0.0243,-0.3618,2018-03-14 10:34:05,2018-03-14 10:38:41
cindicator,Cindicator,CND,103,0.0836513,1679050.0,120957822.0,0.0138812849987,1445976590.0,2000000005.0,0.722988293193,1.0,0,0.001,-0.0052,-0.2722,2018-03-14 10:34:15,2018-03-14 10:38:41
gnosis-gno,Gnosis,GNO,104,102.543,281841.0,113267972.0,0.00248826738065,1104590.0,10000000.0,0.110459,1.0,0,-0.0032,-0.0035,-0.2195,2018-03-14 10:34:10,2018-03-14 10:38:41
vertcoin,Vertcoin,VTC,105,2.59578,1345710.0,112454835.0,0.0119666708861,43322175.0,43322175.0,1.0,84000000.0,0.515740178571,0.0048,0.0143,-0.2005,2018-03-14 10:34:02,2018-03-14 10:38:41
monaco,Monaco,MCO,106,8.48774,30553800.0,112085209.0,0.272594397357,13205542.0,31587682.0,0.418059862702,1.0,0,-0.0252,-0.1426,0.0397,2018-03-14 10:34:12,2018-03-14 10:38:41
genesis-vision,Genesis Vision,GVT,107,29.1008,14285300.0,108452306.0,0.131719651955,3726781.0,4436644.0,0.840000009016,1.0,0,-0.0191,-0.0975,-0.1887,2018-03-14 10:34:17,2018-03-14 10:38:41
quantstamp,Quantstamp,QSP,108,0.175531,4077020.0,108357774.0,0.0376255422154,617314171.0,976442388.0,0.632207469264,1.0,0,0.0007,0.0075,-0.1386,2018-03-14 10:34:17,2018-03-14 10:38:41
civic,Civic,CVC,109,0.315807,8019790.0,108227048.0,0.0741015314397,342699966.0,1000000000.0,0.342699966,1.0,0,-0.0235,-0.0037,-0.0254,2018-03-14 10:34:12,2018-03-14 10:38:41
bitcoindark,BitcoinDark,BTCD,110,83.7787,104436.0,107979198.0,0.000967186290826,1288862.0,1288862.0,1.0,1.0,0,0.0002,-0.0273,-0.1547,2018-03-14 10:34:03,2018-03-14 10:38:41
xpa,XPA,XPA,111,0.105135,53423.4,105135000.0,0.000508140961621,1000000000.0,10000000000.0,0.1,1.0,0,0.027,0.0746,0.1515,2018-03-14 10:34:14,2018-03-14 10:38:41
storm,Storm,STORM,112,0.0255108,19104500.0,104204140.0,0.183337245526,4084706883.0,10000000000.0,0.4084706883,1.0,0,-0.0043,-0.0362,-0.015,2018-03-14 10:34:18,2018-03-14 10:38:41
enjin-coin,Enjin Coin,ENJ,113,0.13496,2596500.0,102055745.0,0.0254419778132,756192535.0,1000000000.0,0.756192535,1.0,0,-0.0017,-0.0257,-0.1834,2018-03-14 10:34:16,2018-03-14 10:38:41
achain,Achain,ACT,114,0.220609,5457100.0,101828862.0,0.0535908964592,461580723.0,1000000000.0,0.461580723,1000000000.0,0.461580723,-0.0039,-0.0244,-0.2611,2018-03-14 10:34:14,2018-03-14 10:38:41
gamecredits,GameCredits,GAME,115,1.54298,957480.0,99299021.0,0.00964239113697,64355352.0,64355352.0,1.0,84000000.0,0.766135142857,-0.0138,-0.0456,-0.2899,2018-03-14 10:34:04,2018-03-14 10:38:41
rlc,iExec RLC,RLC,116,1.23842,1488830.0,99161272.0,0.0150142285387,80070793.0,86999785.0,0.920356216972,1.0,0,0.0328,0.0532,0.0254,2018-03-14 10:34:10,2018-03-14 10:38:41
decentraland,Decentraland,MANA,117,0.0931975,10889100.0,97870563.0,0.11126021621,1050141509.0,2644403343.0,0.397118507576,1.0,0,-0.0011,0.0486,-0.1124,2018-03-14 10:34:14,2018-03-14 10:38:41
ignis,Ignis,IGNIS,118,0.126859,1988340.0,96557960.0,0.0205921914672,761143950.0,999449694.0,0.761563042712,999449694.0,0.761563042712,0.0074,0.0225,-0.1529,2018-03-14 10:34:18,2018-03-14 10:38:41
minexcoin,MinexCoin,MNX,119,27.7526,159076.0,96263500.0,0.00165250588229,3468630.0,5775035.0,0.600624931277,19000000.0,0.182559473684,-0.0441,-0.0271,0.0141,2018-03-14 10:34:16,2018-03-14 10:38:41
santiment,Santiment Network Token,SAN,120,1.53573,2394620.0,96229411.0,0.0248844919148,62660371.0,83337000.0,0.75189136878,1.0,0,-0.0058,0.014,-0.1657,2018-03-14 10:34:12,2018-03-14 10:38:41
raiden-network-token,Raiden Network Token,RDN,121,1.89762,9060960.0,95201576.0,0.0951765756483,50168936.0,100000000.0,0.50168936,1.0,0,-0.004,-0.0139,-0.2288,2018-03-14 10:34:17,2018-03-14 10:38:41
